,,,,,
TABLE 1,,,,,
,,,,,
Community,Joined MCE,MT CO₂ Reduced¹,Participation Rate,Deep Green Rate,Deep Green²
Benicia,2015,16530,79.9 %,4.1 %,2019
Fairfield,2022,N / A,88.3 %,2.1 %,N / A
Vallejo,2021,N / A,85.9 %,3.7 %,N / A
Solano County,2020,18340,89 %,2.1 %,N / A
