,,,,,
TABLE 1,,,,,
,,,,,
Community,Joined MCE,MT CO₂ Reduced¹,Participation Rate,Deep Green Rate,Deep Green²
American Canyon,2016,9040,86.4 %,3.6 %,2021
Calistoga,2016,3107,92.3 %,4.0 %,2021
Napa,2016,38904,89.4 %,3.3 %,2016
Napa Co.,2015,48180,88.3 %,3.9 %,2016
St. Helena,2016,6590,92.6 %,4.9 %,2019
Yountville,2016,3740,91.6 %,4.5 %,2020
